,Unnamed: 0,Person,Institution,Type of relationship (general),"Type of relationship (specific - professor, director, etc)",Time (discrete or interval),Time category,Place,Brief note,Event,Year
89,89,Julius Nyerere,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1958,Year,Mwanza,,Yes,1958.0
90,90,Julius Nyerere,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,April 1959,Year,Zanzibar,,Yes,1959.0
91,91,Julius Nyerere,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,Year,Moshi,,Yes,1959.0
92,92,Paul Bomani,Pan-African Freedom Movement for East and Central Africa,Represented Victoria Federation fo Cooperative Union,,September 1958,Year,Mwanza,,Yes,1958.0
93,93,Rashidi Kawawa,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika Federation of Labour,,September 1958,Year,Mwanza,,Yes,1958.0
94,94,John Rupia,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1958,Year,Mwanza,,Yes,1958.0
95,95,John Rupia,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,April 1959,Year,Zanzibar,,Yes,1959.0
96,96,John Rupia,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,Year,Moshi,,Yes,1959.0
97,97,Bhonke Munanka,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1958,Year,Mwanza,,Yes,1958.0
98,98,Bhonke Munanka,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,Year,Moshi,,Yes,1959.0
99,99,Saidi Maswanya,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1958,Year,Mwanza,,Yes,1958.0
100,100,MM Kamaliza,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika Federation of Labour,,September 1958,Year,Mwanza,,Yes,1958.0
101,101,EMK Mulira,Pan-African Freedom Movement for East and Central Africa,Represented Uganda Progressive Party,,September 1958,Year,Mwanza,,Yes,1958.0
102,102,Abeid Karume,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,September 1958,Year,Mwanza,,Yes,1958.0
103,103,Abeid Karume,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,April 1959,Year,Zanzibar,,Yes,1959.0
104,104,Abeid Karume,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,September 1959,Year,Moshi,,Yes,1959.0
105,105,Abeid Karume,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,February 1962,Year,Addis Ababa,,Yes,1962.0
106,106,Thabit Kombo,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,September 1958,Year,Mwanza,,Yes,1958.0
107,107,Thabit Kombo,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,April 1959,Year,Zanzibar,,Yes,1959.0
108,108,Thabit Kombo,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,September 1959,Year,Moshi,,Yes,1959.0
109,109,Issa Shariff Musa,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,September 1958,Year,Mwanza,,Yes,1958.0
110,110,Issa Shariff Musa,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,April 1959,,Moshi,,Yes,1959.0
111,111,Musa Shabani,Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,September 1958,,Mwanza,,Yes,1958.0
112,112,Rashidi Hamadi,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,September 1958,,Mwanza,,Yes,1958.0
113,113,Rashidi Hamadi,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party or Zanzibar Nationalist Party,,April 1959,,Zanzibar,,Yes,1959.0
114,114,Rashidi Hamadi,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party or Zanzibar Nationalist Party,,September 1959,,Moshi,,Yes,1959.0
115,115,A R Mohamed (Babu),Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,September 1958,,Mwanza,,Yes,1958.0
116,116,A R Mohamed (Babu),Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,April 1959,,Zanzibar,,Yes,1959.0
117,117,A R Mohamed (Babu),Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,September 1959,,Moshi,,Yes,1959.0
118,118,A R Mohamed (Babu),Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,February 1962,,Addis Ababa,,Yes,1962.0
119,119,Mohsin Abeid,Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,September 1958,,Mwanza,,Yes,1958.0
120,120,Mohsin Abeid,Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,April 1959,,Zanzibar,,Yes,1959.0
121,121,Abbas Sykes,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,April 1959,,Zanzibar,,Yes,1959.0
122,122,Jeremiah Bakampenja,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,April 1959,,Zanzibar,,Yes,1959.0
123,123,Jeremiah Bakampenja,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,,Moshi,,Yes,1959.0
124,124,Solomon Ali Ufu,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,April 1959,,Zanzibar,,Yes,1959.0
125,125,Sekuwe Ali,Pan-African Freedom Movement for East and Central Africa,Represented Mombasa African Democratic Union,,April 1959,,Zanzibar,,Yes,1959.0
126,126,Dickson Oruko Makasembo,Pan-African Freedom Movement for East and Central Africa,Represented Kisumu National Congress,,April 1959,,Zanzibar,,Yes,1959.0
127,127,Abdulla Mzee Khamis,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,April 1959,,Zanzibar,,Yes,1959.0
128,128,Omari Hamadi,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,April 1959,,Zanzibar,,Yes,1959.0
129,129,Mtumwa Borafia,Pan-African Freedom Movement for East and Central Africa,Participated,,April 1959,,Zanzibar,,Yes,1959.0
130,130,Bibi Titi Mohamed,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,,Moshi,,Yes,1959.0
131,131,Roland Mwanjisi,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,,Moshi,,Yes,1959.0
132,132,Edward Barongo,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,,Moshi,,Yes,1959.0
133,133,Jeremiah Kasambala,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,,Moshi,,Yes,1959.0
134,134,Sheikh Alli Muhsin Bharwani,Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,September 1959,,Moshi,,Yes,1959.0
135,135,Ali Sultan,Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,September 1959,,Moshi,,Yes,1959.0
136,136,Jamal Ramadan Nasibu,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,September 1959,,Moshi,,Yes,1959.0
137,137,Ronald Ngala,Pan-African Freedom Movement for East and Central Africa,Represented Kenya National Party,,September 1959,,Moshi,,Yes,1959.0
138,138,David Itumo Kiamba,Pan-African Freedom Movement for East and Central Africa,Represented Kenya Independence Movement,,September 1959,,Moshi,,Yes,1959.0
139,139,William Malu,Pan-African Freedom Movement for East and Central Africa,Represented Kenya Independence Movement,,September 1959,,Moshi,,Yes,1959.0
140,140,William Malu,Pan-African Freedom Movement for East and Central Africa,Represented Kenya Independence Movement,,February 1962,,Addis Ababa,,Yes,1962.0
141,141,Alfred Mingusa Akech,Pan-African Freedom Movement for East and Central Africa,Represented Kenya Independence Movement,,September 1959,,Moshi,,Yes,1959.0
142,142,James Nzau Muimi,Pan-African Freedom Movement for East and Central Africa,Kenya National Party,,September 1959,,Moshi,,Yes,1959.0
143,143,A Oloo,Pan-African Freedom Movement for East and Central Africa,Participated (Tom Mboya's secretary),,September 1959,,Moshi,,Yes,1959.0
144,144,Milton Obote,Pan-African Freedom Movement for East and Central Africa,Represented Uganda National Congress (dissident group) ,,September 1959,,Moshi,,Yes,1959.0
145,145,Abu Mayanja,Pan-African Freedom Movement for East and Central Africa,Represented Uganda National Congress (dissident group) ,,September 1959,,Moshi,,Yes,1959.0
146,146,Joseph Wasakulu,Pan-African Freedom Movement for East and Central Africa,Represented Uganda National Congress (dissident group) ,,September 1959,,Moshi,,Yes,1959.0
147,147,Benedicto Kiwanuka,Pan-African Freedom Movement for East and Central Africa,Represented Uganda Democratic Party,,September 1959,,Moshi,,Yes,1959.0
148,148,Benedicto Kiwanuka,Pan-African Freedom Movement for East and Central Africa,Represented Uganda Democratic Party,,February 1962,,Moshi,,Yes,1962.0
149,149,A Ntale,Pan-African Freedom Movement for East and Central Africa,Represented Uganda Democratic Party,,September 1959,,Moshi,,Yes,1959.0
150,150,B A Misri,Pan-African Freedom Movement for East and Central Africa,Represented Uganda Action Group,,September 1959,,Moshi,,Yes,1959.0
151,151,Shafiq Arain,Pan-African Freedom Movement for East and Central Africa,Represented Uganda Action Group,,September 1959,,Moshi,,Yes,1959.0
152,152,Andrew Assey,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,,Moshi,,Yes,1959.0
153,153,M N Rattansey,Pan-African Freedom Movement for East and Central Africa,Represented Asian Association (Tangankyika),,September 1959,,Moshi,,Yes,1959.0
154,154,S Sarda,Pan-African Freedom Movement for East and Central Africa,Represented Asian Association (Tangankyika),,September 1959,,Moshi,,Yes,1959.0
155,155,C D Shah,Pan-African Freedom Movement for East and Central Africa,Represented Asian Association (Tangankyika),,September 1959,,Moshi,,Yes,1959.0
156,156,N S Patel,Pan-African Freedom Movement for East and Central Africa,Represented Asian Association (Tangankyika),,September 1959,,Moshi,,Yes,1959.0
157,157,Alibhai Bhatia,Pan-African Freedom Movement for East and Central Africa,Represented Asian Association (Tangankyika),,September 1959,,Moshi,,Yes,1959.0
158,158,Oginga Odinga,Pan-African Freedom Movement for East and Central Africa,Participated,,February 1962,,Addis Ababa,,Yes,1962.0
159,159,Mwai Kibaki,Pan-African Freedom Movement for East and Central Africa,Participated,,February 1962,,Addis Ababa,,Yes,1962.0
160,160,Josiah Mwangi Kariuki,Pan-African Freedom Movement for East and Central Africa,Observer,,February 1962,,Addis Ababa,,Yes,1962.0
161,161,Mbiyu Koinange,Pan-African Freedom Movement for East and Central Africa,Secretary General,,February 1962,,Addis Ababa,,Yes,1962.0
162,162,M A Masswanya,Pan-African Freedom Movement for East and Central Africa,Participated,,February 1962,,Addis Ababa,,Yes,1962.0
163,163,John Kakonge,Pan-African Freedom Movement for East and Central Africa,Represented Uganda Peoples Congress,,February 1962,,Addis Ababa,,Yes,1962.0
164,164,B N Kukunka,Pan-African Freedom Movement for East and Central Africa,Represented Uganda National Congress,,February 1962,,Addis Ababa,,Yes,1962.0
165,165,A Senyoga,Pan-African Freedom Movement for East and Central Africa,Represented Uganda National Congress,,February 1962,,Addis Ababa,,Yes,1962.0
166,166,S S Kigonya,Pan-African Freedom Movement for East and Central Africa,Uganda Democratic Party,,February 1962,,Addis Ababa,,Yes,1962.0
167,167,O Shariff,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,February 1962,,Addis Ababa,,Yes,1962.0
168,168,A K Hanga,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,February 1962,,Addis Ababa,,Yes,1962.0
169,169,Amani Thani,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,February 1962,,Addis Ababa,,Yes,1962.0
