,Unnamed: 0,Person,Publication,Brief note,"Type of relationship (writer, reader, etc)",Date written for publication,Volume/Issue/Number,Explanation of link between person and publication,Year
22,22,,,,,October 1966,Issue 21,,1966.0
23,23,Rose Mbowa,Dhana,,Contributor,1972,"Vol 2, No 1",,1972.0
24,24,Taban lo Liyong,East Africa Journal,,Contributor,,,,
25,25,Kirunda Kivejinja,The People,,Writer,,,,
26,26,Hilary Ng'weno,Daily Nation,,Editor,,,,
27,27,Hilary Ng'weno,Joe Magazine,,Founder,,,,
28,28,Hilary Ng'weno,Kenya Weekly Review,,Founder; editor,,,,
29,29,Ngũgĩ wa Thiong'o,Penpoint,,Contributor,early 1960s,,,1960.0
30,30,Rajat Neogy,Transition,,Editor,1960s,,,1960.0
31,31,Rajat Neogy,Transition,,Contributor,March 1963,"Vol 3, No. 8",,1963.0
32,32,Rajat Neogy,Transition,,Contributor,June 1963,"Vol 3, No. 9",,1963.0
33,33,Rajat Neogy,Transition,,Contributor,November 1963,"Vol 3, No. 11",,1963.0
34,34,John Nagenda,Transition,,Contributor,October 1962,"Vol 2, No. 6&7",,1962.0
35,35,Okot p'Bitek,Transition,,Contributor,October 1962,"Vol 2, No. 6&7",,1962.0
36,36,Okot p'Bitek,Transition,,Contributor,September 1963,"Vol 4, No. 10",,1963.0
37,37,Okot p'Bitek,Transition,,Contributor,March-April 1964,"Vol 3, No.13",,1964.0
38,38,Okot p'Bitek,Transition,,Contributor,1964,"Vol 4, No. 17",,1964.0
39,39,Elimo Njau,Transition,,Contributor,June 1963,"Vol 3, No. 9",,1963.0
40,40,Ali Mazrui,Transition,Academic; airlift student; friend of Tom Mboya,Contributor,1964,"Vol 4, No. 17",,1964.0
41,41,Ali Mazrui,Transition,,Contributor,1966,"Vol 5 (vi), No. 25",,1966.0
42,42,Ali Mazrui,East Africa Journal,,Contributor,,,,
43,43,E.S. Atieno Odhiambo,East Africa Journal,Historian,Contributor,,,,
44,44,Philip Ochieng,East Africa Journal,Journalist; airlift student,Assistant Editor,,,,
45,45,Philip Ochieng,Daily Nation,,,,,,
46,46,Philip Ochieng,Daily News,,Editor,,,,
47,47,Terry Hirst,East Africa Journal,Journalist; academic,Associate Editor,,,,
48,48,Odinge Odera,East Africa Journal,Journalist; Tom Mboya's speech writer; airlift student; former student of Richard Garver (CIA officer working at EAISCA),Inaugural editor,,,,
49,49,Ezekiel Mphalele,East Africa Journal,Writer,Contributor,,,,
50,50,Ezekiel Mphalele,Transition,Writer,Contributor,December/January 1968,"Vol 7 (iii), No. 35",,1968.0
51,51,Pamela Mboya,East Africa Journal,Airlift student; Tom Mboya's wife,Contributor,,,,
52,52,Clement Lubembe,East Africa Journal,Politician and trade union leader,Contributor,,,,
53,53,Yash Ghai,East Africa Journal,,Contributor,,,,
54,54,Peter Anyang-Nyongo,East Africa Journal,Academic; politician,Contributor,,,,
55,55,Lennard Okola,East Africa Journal,Publisher; writer,Contributor,,,,
56,56,David Rubadiri,Penpoint,"Diplomat, academic, playwright, poet",Contributor,August 1968,Issue 23,,1968.0
57,57,David Rubadiri,Dhana,,Contributor,1971,"Vol 1, No. 1",,1971.0
58,58,Pio Zirimu,Dhana,"Academic, linguist",Contributor,1971,"Vol 1, No. 1",,1971.0
59,59,Francis Khamisi,Baraza,,Editor,1961,,,1961.0
60,60,Shaaban Robert,Mambo Leo,,Contributor,,,,
61,61,Clement Ndulute,Ghala (East Africa Journal's special issue on creative writing),,Editor,1972,"Vol 2, No. 2",,1972.0
62,62,Mukotani Rugyendo,Umma,,Editor,1971,"Vol 1, No. 2",,1971.0
63,63,Mukotani Rugyendo,Umma,,Editor,1972,"Vol 2, No. 1",,1972.0
64,64,Marjorie Macgoye,Transition,,Contributor,April 1966,"Vol 6 (ii), No. 27",,1966.0
65,65,Peter Nazareth,Transition,,Contributor,February/March 1967,"Vol 6, No. 29",,1967.0
66,66,Ali Mazrui,East Africa Journal,Academic,Contributor,September 1969,"Vol 6, No. 9",,1969.0
67,67,Dharam Ghai,East Africa Journal,Academic,Associate Editor,,,,
68,68,Dharam Ghai,East Africa Journal,Academic,Contributor,September 1969,"Vol 6, No. 9",,1969.0
69,69,Dennis Akumu,East Africa Journal,Trade unionist,Contributor,September 1969,"Vol 6, No. 9",,1969.0
70,70,Colin Legum,East Africa Journal,Journalist,Contributor,September 1969,"Vol 6, No. 9",,1969.0
71,71,John Okumu,East Africa Journal,Academic,Associate Editor,,,,
72,72,Isaria Kimambo,East Africa Journal,Academic,Associate Editor,,,,
73,73,Milton Obote,East Africa Journal,Politician,Contributor,September 1969,"Vol 6, No.9",,1969.0
74,74,Peter Anyang-Nyongo,East Africa Journal,Academic,Contributor,March 1971,"Vol 8, no. 4",,1971.0
75,75,Ezekiel Mphalele,East Africa Journal,Writer,Contributor,February 1965,"Vol 1, no.9",,1965.0
76,76,Tom Mboya,East Africa Journal,Politician,Contributor,March 1965,"Vol 1, no.10",,1965.0
77,77,Yash Ghai,East Africa Journal,Academic,Contributor,March 1965,"Vol 1, no.10",,1965.0
78,78,Wilbert Chagula,East Africa Journal,Academic,Contributor,May 1964,"Vol 1, no.2",,1964.0
79,79,Ezekiel Mphalele,East Africa Journal,Writer,Contributor,June 1964,"Vol 1, no.3",,1964.0
80,80,Pamela Mboya,East Africa Journal,Activist,Contributor,June 1964,"Vol 1, no. 3",,1964.0
81,81,Dharam Ghai,East Africa Journal,Academic,Contributor,June 1964,"Vol 1, no. 3",,1964.0
82,82,Ali Mazrui,East Africa Journal,Academic,Contributor,October 1964,"Vol 1, no. 6",,1964.0
83,83,Tom Mboya,East Africa Journal,Politician,Contributor,October 1964,"Vol 1, no. 6",,1964.0
84,84,Michael Kamaliza,East Africa Journal,Politician,Contributor,November 1964,"Vol 1, no 7",,1964.0
85,85,Tom Mboya,East Africa Journal,Politician,Contributor,May 1969,"Vol 6, no. 5",,1969.0
86,86,Boloki Chango Machyo,East Africa Journal,Politician,Contributor,February 1970,"Vol 7, no. 2",,1970.0
87,87,Dharam Ghai,East Africa Journal,Academic,Contributor,March 1970,"Vol 7, no. 3",,1970.0
88,88,Philip Ochieng,Ghala (East Africa Journal's special issue on creative writing ,Journalist; editor,Co-editor,July 1968,"Vol 5, no. 7",Vol & issue number are of EAJ,1968.0
89,89,Leonard Kibera,Ghala (East Africa Jornal's special issue on creative writing),,Co-editor,July 1968,"Vol 5, no. 7",,1968.0
90,90,Terry Hirst,Ghala (East Africa Jornal's special issue on creative writing),Journalist; academic,Contributor,July 1968,"Vol 5, no. 7",,1968.0
91,91,Joseph Kimura,Ghala (East Africa Jornal's special issue on creative writing),,Contributor,July 1968,"Vol 5, no. 7",,1968.0
92,92,Jagjit Singh,Ghala (East Africa Jornal's special issue on creative writing),,Contributor,July 1968,"Vol 5, no. 7",,1968.0
93,93,Grace Ogot,Ghala (East Africa Jornal's special issue on creative writing),Writer,Contributor,July 1968,"Vol 5, no. 7",,1968.0
94,94,Elvania Zirimu,Ghala (East Africa Jornal's special issue on creative writing),,Contributor,July 1968,"Vol 5, no. 7",,1968.0
95,95,Kenneth Watene,Ghala (East Africa Jornal's special issue on creative writing),,Contributor,July 1968,"Vol 5, no. 7",,1968.0
96,96,James Gecau,Ghala (East Africa Jornal's special issue on creative writing),,Contributor,July 1968,"Vol 5, no. 7",,1968.0
97,97,Duncan Gichangi,Ghala (East Africa Jornal's special issue on creative writing),,Contributor,July 1968,"Vol 5, no. 7",,1968.0
98,98,Wilson Mativo,Ghala (East Africa Jornal's special issue on creative writing),,Contributor,July 1968,"Vol 5, no. 7",,1968.0
99,99,E.S. Atieno Odhiambo,Ghala (East Africa Jornal's special issue on creative writing),Academic,Contributor,July 1968,"Vol 5, no. 7",,1968.0
100,100,Tony Mphalele,Ghala (East Africa Jornal's special issue on creative writing),Writer,Contributor,July 1968,"Vol 5, no. 7",Son of Ezekiel/Es'kia,1968.0
101,101,Albert Ojuka,Ghala (East Africa Jornal's special issue on creative writing),,Contributor,July 1968,"Vol 5, no. 7",,1968.0
102,102,Marjorie Oludhe-Macgoye,Ghala (East Africa Jornal's special issue on creative writing),Writer,Contributor,July 1968,"Vol 5, no. 7",,1968.0
103,103,Okello Oculi,Ghala (East Africa Jornal's special issue on creative writing),Writer,Contributor,July 1968,"Vol 5, no. 7",,1968.0
104,104,Okot p'Bitek,East Africa Journal,Writer,Contributor,August 1969,"Vol 6, no.8",,1969.0
105,105,Yash Ghai,East Africa Journal,Academic,Contributor,August 1969,"Vol 6, no.8",,1969.0
106,106,Ali Mazrui,East Africa Journal,Academic,Contributor,November 1970,"Vol 7, no.11",,1970.0
107,107,E.S. Atieno Odhiambo,East Africa Journal,Academic,Contributor,November 1970,"Vol 7, no.11",,1970.0
108,108,Dharam Ghai,East Africa Journal,Academic,Contributor,November 1970,"Vol 7, no.11",,1970.0
109,109,Ali Mazrui,East Africa Journal,Academic,Contributor,May 1972,"Vol 9, no. 5",,1972.0
110,110,E.S. Atieno Odhiambo,East Africa Journal,Academic,Contributor,May 1972,"Vol 9, no. 5",,1972.0
111,111,Dharam Ghai,East Africa Journal,Academic,Contributor,May 1972,"Vol 9, no. 5",,1972.0
112,112,Ali Mazrui,East Africa Journal,Academic,Contributor,April 1969,"Vol 6, no. 4",,1969.0
113,113,Boloki Chango Machyo,East Africa Journal,Academic,Contributor,February 1969,"Vol 6, no.2",,1969.0
114,114,Okot p'Bitek,East Africa Journal,Writer,Contributor,February 1969,"Vol 6, no.2",,1969.0
115,115,Grace Ogot,East Africa Journal,Writer,Contributor,November 1968,"Vol 5, no. 11",,1968.0
116,116,Lennard Okola,Ghala (East Africa Journal's special issue on creative writing),,Editor,January 1972,"Vol 9, no.1",Volume & issue number refer to EAJ,1972.0
117,117,Grace Ogot,East Africa Journal,Writer,Contributor,,,,
118,118,Peter Nazareth,East Africa Journal,Writer,Contributor,,,,
119,119,Okot p'Bitek,East Africa Journal,Writer,Contributor,,,,
120,120,Marjorie Oludhe-Macgoye,East Africa Journal,Writer,Contributor,,,,
121,121,Abu Mayanja,Transition,Intellectual,Contributor,April 1968,,,1968.0
122,122,Boaz Omori,Baraza,Journalist,Contributor,1950s,,,1950.0
123,123,Boaz Omori,Daily Nation,Journalist,Editor,1963-1972,,,1972.0
