Person,Institution,Type of relationship (general),"Type of relationship (specific - professor, director, etc)",Time (discrete or interval),Time category,Place,Brief note,Event
Wilbert Chagula,East African Institute for Social and Cultural Affairs,Governor,,1963-1968,Interval,,Criticised EAISCA for its lax accountancy and governance structures,
Wilbert Chagula,East African Institute for Social and Cultural Affairs,Contributor,Subject of radio broadcast,1965,Year,,,
Sayed Abidi,East African School of Librarianship,Director,,1972-2002,Interval,,,
Sayed Abidi,Makerere University,,,,,,,
Taban lo Liyong,University of Nairobi,Academic,Lecturer,,,,,
Kirunda Kivejinja,East African Institute for Social and Cultural Affairs,Intellectual and politician,,1960s,Approximation,Kampala,"Worked with the Milton Obote Foundation, the Uganda Publishing House, and The People newspaper, all of which functioned under the umbrella of the EAISCA",
Ngũgĩ wa Thiong'o,Makerere University,Student,Undergraduate in English,1960-1963,Interval,,,
Ngũgĩ wa Thiong'o,University of Nairobi,Academic,Lecturer in English,1967-1977,Interval,,,
Ngũgĩ wa Thiong'o,East African Institute for Social and Cultural Affairs,Contributor,Subject of radio broadcast,1965,Year,,,
Charity Waciuma,East African Publishing House,Published,,1969,Year,,Author of Daughter of Mumbi,
Philip Ndegwa,East African Publishing House,Published,,,,,Author of The Common Market and Development in East Africa,
Philip Ndegwa,Ministry of Economic Development and Planning,Worked for Tom Mboya,,,,,,
Philip Ndegwa,Makerere University,Academic,,,,,,
Colin Legum,East African Publishing House,Published,,,,,Author of Pan Africanism and Nationalism; Ghost writer for Tom Mboya's Freedom and After; East Africa correspondent for The Observer,
E.S. Atieno Odhiambo,University of Nairobi,Academic,,,,,,
Terry Hirst,Paa ya Paa Gallery,,,,,,Journalist & academic,
Terry Hirst,East African Institute for Social and Cultural Affairs,Associate Editor of East Africa Journal,,,,,Journalist & academic,
Ezekiel Mphalele,Chemchemi Cultural Centre,,,,,,Writer,
Ezekiel Mphalele,Congress for Cultural Freedom,,,,,,,
Ezekiel Mphalele,CIA,,,,,,,
Ezekiel Mphalele,East African Institute for Social and Cultural Affairs,Contributor,Subject & presenter of radio broadcasts,1965,Year,,,
Pamela Mboya,Makerere University,Student,,,,,,
Grace Ogot,East African Publishing House,Published,,,,,,
Grace Ogot,East African Institute for Social and Cultural Affairs,Contributor,Subject of radio broadcast,,,,,
Clement Lubembe,Kenya Federation of Labour,,,,,,,
Yash Ghai,University of Dar es Salaam,Academic,,,,,,
Richard Garver,CIA,Officer,,,,,Former tutor of Odinge Odera,
Richard Garver,East African Institute for Social and Cultural Affairs,Employee,,,,,,
Peter Anyang-Nyongo,Makerere University,Student,,,,,,
Lennard Okola,East African Publishing House,Deputy Director,,,,,,
Lennard Okola,Makerere University,Student,,,,,,
Charles Granston Richards,East African Literature Bureau,Director,,,,,,
J.P. Oyende,East African Literature Bureau,Published,,1951,Year,,Author of Chifu hodari wa Kiafrika / The ideal African chief,
A. McPhee,East African Literature Bureau,,,,,,Editor of Tunuulira,
Mr. J.S. Kasirye,East African Literature Bureau,Luganda translator,,1956,Year,,,
J. Johnston,East African Literature Bureau,Deputy Director,,1954,Year,,,
David Rubadiri,Makerere University,Student; academic,Lecturer,,,,,
David Rubadiri,East African Academy,Chairperson,Chairperson of the Research and Studentships Committee,1966,Year,,"Elected at the 1966 symposium, Kampala",
Ali Mazrui,Makerere University,Academic,,1966-1974,Interval,,Left Makerere because of fears around Idi Amin's rule,
Ali Mazrui,East African Institute for Social and Cultural Affairs,Contributor,Subject of radio broadcasts,1965,Year,,,
Isaria Kimambo,East African Institute for Social and Cultural Affairs,Associate Editor,East Africa Journal,,,,,
Isaria Kimambo,University of Dar es Salaam,Professor,Head of History Department,,,,First African head of department,
Tom Mboya,East African Institute for Social and Cultural Affairs,Contributor,,,,,,
Tom Mboya,Paa ya Paa Gallery,Patron,,,,,,
Tom Mboya,Chemchemi Cultural Centre,Patron,,,,,,
Tom Mboya,East African Publishing House,Author,,,,,EAPH published Swahili translation of Freedom and After (Uhuru ni Mwanzo),
John Nottingham,East African Publishing House,Editor & author,,,,,,
Rajat Neogy,East African Institute for Social and Cultural Affairs,Subject of radio broadcast,,1965,Year,,,
Abu Mayanja,Makerere University,Student,Expelled for organising a 1952 student strike,1952,Year,,,
Boloki Chango Machyo,Makerere University,Tutor,Resident tutor in Mbale for Makerere Extra Mural Studies,1964-1970,Interval,,,
Kanyama Chiume,Pan-African Freedom Movement for East and Central Africa,"Delegate at Mwanza, representing Nyasaland African Congress",,September 1958,Year,,,
Kanyama Chiume,East African Publishing House,Published,"EAPH published Chiume's autobiography, Kwacha, in 1975",1975,,,"EAPH published Chiume's autobiography, Kwacha, in 1975",
Francis Khamisi,Pan-African Freedom Movement for East and Central Africa,"Conference Chair, represented Mombasa African Democratic Union",,September 1958,Year,Mwanza,,Yes
Francis Khamisi,Pan-African Freedom Movement for East and Central Africa,"Conference Chair, represented Mombasa African Democratic Union",,April 1959,Year,Zanzibar,,Yes
Francis Khamisi,Pan-African Freedom Movement for East and Central Africa,"Conference Chair, represented Mombasa African Democratic Union",,September 1959,Year,Moshi,,Yes
Julius Kiano,Pan-African Freedom Movement for East and Central Africa,Participated (Also spoke for PAFMECA at All-African People's Cofnerence in Accra),,September 1958,Year,Mwanza,,Yes
Tom Mboya,Pan-African Freedom Movement for East and Central Africa,Represented Nairobi People's Convention Party,,September 1958,Year,Mwanza,,Yes
Tom Mboya,Pan-African Freedom Movement for East and Central Africa,Represented Nairobi People's Convention Party,,September 1959,Year,Moshi,,Yes
DO Makasembo (Dixon Ruoko),Pan-African Freedom Movement for East and Central Africa,Represented District African Association,,September 1958,Year,Mwanza,,Yes
DO Makasembo (Dixon Ruoko),Pan-African Freedom Movement for East and Central Africa,"Represented District African Association, part of Kenya Independence Movement at Moshi",,September 1959,Year,Moshi,,Yes
EE Khasakhala,Pan-African Freedom Movement for East and Central Africa,Represented Kenya National Party,,September 1958,Year,Mwanza,,Yes
EE Khasakhala,Pan-African Freedom Movement for East and Central Africa,Represented Kenya National Party,,September 1959,Year,Moshi,,Yes
EE Khasakhala,Pan-African Freedom Movement for East and Central Africa,Represented Kenya National Party,,February 1962,Year,Addis Ababa,,Yes
Kanyama Chiume,Pan-African Freedom Movement for East and Central Africa,Represented Nyasaland African Congress,,September 1958,Year,Mwanza,,Yes
Julius Nyerere,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1958,Year,Mwanza,,Yes
Julius Nyerere,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,April 1959,Year,Zanzibar,,Yes
Julius Nyerere,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,Year,Moshi,,Yes
Paul Bomani,Pan-African Freedom Movement for East and Central Africa,Represented Victoria Federation fo Cooperative Union,,September 1958,Year,Mwanza,,Yes
Rashidi Kawawa,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika Federation of Labour,,September 1958,Year,Mwanza,,Yes
John Rupia,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1958,Year,Mwanza,,Yes
John Rupia,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,April 1959,Year,Zanzibar,,Yes
John Rupia,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,Year,Moshi,,Yes
Bhonke Munanka,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1958,Year,Mwanza,,Yes
Bhonke Munanka,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,Year,Moshi,,Yes
Saidi Maswanya,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1958,Year,Mwanza,,Yes
MM Kamaliza,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika Federation of Labour,,September 1958,Year,Mwanza,,Yes
EMK Mulira,Pan-African Freedom Movement for East and Central Africa,Represented Uganda Progressive Party,,September 1958,Year,Mwanza,,Yes
Abeid Karume,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,September 1958,Year,Mwanza,,Yes
Abeid Karume,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,April 1959,Year,Zanzibar,,Yes
Abeid Karume,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,September 1959,Year,Moshi,,Yes
Abeid Karume,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,February 1962,Year,Addis Ababa,,Yes
Thabit Kombo,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,September 1958,Year,Mwanza,,Yes
Thabit Kombo,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,April 1959,Year,Zanzibar,,Yes
Thabit Kombo,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,September 1959,Year,Moshi,,Yes
Issa Shariff Musa,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,September 1958,Year,Mwanza,,Yes
Issa Shariff Musa,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,April 1959,,Moshi,,Yes
Musa Shabani,Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,September 1958,,Mwanza,,Yes
Rashidi Hamadi,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,September 1958,,Mwanza,,Yes
Rashidi Hamadi,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party or Zanzibar Nationalist Party,,April 1959,,Zanzibar,,Yes
Rashidi Hamadi,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party or Zanzibar Nationalist Party,,September 1959,,Moshi,,Yes
A R Mohamed (Babu),Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,September 1958,,Mwanza,,Yes
A R Mohamed (Babu),Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,April 1959,,Zanzibar,,Yes
A R Mohamed (Babu),Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,September 1959,,Moshi,,Yes
A R Mohamed (Babu),Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,February 1962,,Addis Ababa,,Yes
Mohsin Abeid,Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,September 1958,,Mwanza,,Yes
Mohsin Abeid,Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,April 1959,,Zanzibar,,Yes
Abbas Sykes,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,April 1959,,Zanzibar,,Yes
Jeremiah Bakampenja,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,April 1959,,Zanzibar,,Yes
Jeremiah Bakampenja,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,,Moshi,,Yes
Solomon Ali Ufu,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,April 1959,,Zanzibar,,Yes
Sekuwe Ali,Pan-African Freedom Movement for East and Central Africa,Represented Mombasa African Democratic Union,,April 1959,,Zanzibar,,Yes
Dickson Oruko Makasembo,Pan-African Freedom Movement for East and Central Africa,Represented Kisumu National Congress,,April 1959,,Zanzibar,,Yes
Abdulla Mzee Khamis,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,April 1959,,Zanzibar,,Yes
Omari Hamadi,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,April 1959,,Zanzibar,,Yes
Mtumwa Borafia,Pan-African Freedom Movement for East and Central Africa,Participated,,April 1959,,Zanzibar,,Yes
Bibi Titi Mohamed,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,,Moshi,,Yes
Roland Mwanjisi,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,,Moshi,,Yes
Edward Barongo,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,,Moshi,,Yes
Jeremiah Kasambala,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,,Moshi,,Yes
Sheikh Alli Muhsin Bharwani,Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,September 1959,,Moshi,,Yes
Ali Sultan,Pan-African Freedom Movement for East and Central Africa,Represented Zanzibar Nationalist Party,,September 1959,,Moshi,,Yes
Jamal Ramadan Nasibu,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,September 1959,,Moshi,,Yes
Ronald Ngala,Pan-African Freedom Movement for East and Central Africa,Represented Kenya National Party,,September 1959,,Moshi,,Yes
David Itumo Kiamba,Pan-African Freedom Movement for East and Central Africa,Represented Kenya Independence Movement,,September 1959,,Moshi,,Yes
William Malu,Pan-African Freedom Movement for East and Central Africa,Represented Kenya Independence Movement,,September 1959,,Moshi,,Yes
William Malu,Pan-African Freedom Movement for East and Central Africa,Represented Kenya Independence Movement,,February 1962,,Addis Ababa,,Yes
Alfred Mingusa Akech,Pan-African Freedom Movement for East and Central Africa,Represented Kenya Independence Movement,,September 1959,,Moshi,,Yes
James Nzau Muimi,Pan-African Freedom Movement for East and Central Africa,Kenya National Party,,September 1959,,Moshi,,Yes
A Oloo,Pan-African Freedom Movement for East and Central Africa,Participated (Tom Mboya's secretary),,September 1959,,Moshi,,Yes
Milton Obote,Pan-African Freedom Movement for East and Central Africa,Represented Uganda National Congress (dissident group) ,,September 1959,,Moshi,,Yes
Abu Mayanja,Pan-African Freedom Movement for East and Central Africa,Represented Uganda National Congress (dissident group) ,,September 1959,,Moshi,,Yes
Joseph Wasakulu,Pan-African Freedom Movement for East and Central Africa,Represented Uganda National Congress (dissident group) ,,September 1959,,Moshi,,Yes
Benedicto Kiwanuka,Pan-African Freedom Movement for East and Central Africa,Represented Uganda Democratic Party,,September 1959,,Moshi,,Yes
Benedicto Kiwanuka,Pan-African Freedom Movement for East and Central Africa,Represented Uganda Democratic Party,,February 1962,,Moshi,,Yes
A Ntale,Pan-African Freedom Movement for East and Central Africa,Represented Uganda Democratic Party,,September 1959,,Moshi,,Yes
B A Misri,Pan-African Freedom Movement for East and Central Africa,Represented Uganda Action Group,,September 1959,,Moshi,,Yes
Shafiq Arain,Pan-African Freedom Movement for East and Central Africa,Represented Uganda Action Group,,September 1959,,Moshi,,Yes
Andrew Assey,Pan-African Freedom Movement for East and Central Africa,Represented Tanganyika African National Union,,September 1959,,Moshi,,Yes
M N Rattansey,Pan-African Freedom Movement for East and Central Africa,Represented Asian Association (Tangankyika),,September 1959,,Moshi,,Yes
S Sarda,Pan-African Freedom Movement for East and Central Africa,Represented Asian Association (Tangankyika),,September 1959,,Moshi,,Yes
C D Shah,Pan-African Freedom Movement for East and Central Africa,Represented Asian Association (Tangankyika),,September 1959,,Moshi,,Yes
N S Patel,Pan-African Freedom Movement for East and Central Africa,Represented Asian Association (Tangankyika),,September 1959,,Moshi,,Yes
Alibhai Bhatia,Pan-African Freedom Movement for East and Central Africa,Represented Asian Association (Tangankyika),,September 1959,,Moshi,,Yes
Oginga Odinga,Pan-African Freedom Movement for East and Central Africa,Participated,,February 1962,,Addis Ababa,,Yes
Mwai Kibaki,Pan-African Freedom Movement for East and Central Africa,Participated,,February 1962,,Addis Ababa,,Yes
Josiah Mwangi Kariuki,Pan-African Freedom Movement for East and Central Africa,Observer,,February 1962,,Addis Ababa,,Yes
Mbiyu Koinange,Pan-African Freedom Movement for East and Central Africa,Secretary General,,February 1962,,Addis Ababa,,Yes
M A Masswanya,Pan-African Freedom Movement for East and Central Africa,Participated,,February 1962,,Addis Ababa,,Yes
John Kakonge,Pan-African Freedom Movement for East and Central Africa,Represented Uganda Peoples Congress,,February 1962,,Addis Ababa,,Yes
B N Kukunka,Pan-African Freedom Movement for East and Central Africa,Represented Uganda National Congress,,February 1962,,Addis Ababa,,Yes
A Senyoga,Pan-African Freedom Movement for East and Central Africa,Represented Uganda National Congress,,February 1962,,Addis Ababa,,Yes
S S Kigonya,Pan-African Freedom Movement for East and Central Africa,Uganda Democratic Party,,February 1962,,Addis Ababa,,Yes
O Shariff,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,February 1962,,Addis Ababa,,Yes
A K Hanga,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,February 1962,,Addis Ababa,,Yes
Amani Thani,Pan-African Freedom Movement for East and Central Africa,Represented Afro-Shirazi Party,,February 1962,,Addis Ababa,,Yes
